編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2)
30,6547,高端疫苗,生技醫療業,68.1,6.41,33.55,54.58,13.98,-15.29,-12.03,8819,78.4,64.0,50.99,44.06,5.19,84.04,0.83,63.66,54.95,9999.0
31,1102,亞泥,水泥工業,35.4,0.57,5.47,5.39,-8.29,-7.51,-8.1,49944,36.9,35.2,33.56,33.59,11.11,74.52,0.0,55.35,9999.0,9999.0
32,5434,崇越,電子通路業,535.0,0.56,2.71,39.37,-4.67,36.34,24.5,-1330,559.0,532.0,520.87,383.86,0.0,79.15,51.94,55.43,249.42,9999.0
33,6505,台塑化,油電燃氣業,87.5,9.92,26.54,61.1,9.47,50.29,15.08,-2776,85.3,79.6,69.15,54.31,77.46,93.35,23.37,60.53,9999.0,9999.0
34,6532,瑞耘,半導體業,99.8,1.94,19.91,41.61,44.11,49.12,5.83,673,109.5,97.9,83.23,70.47,86.9,68.45,8.26,56.8,9999.0,9999.0
35,6426,統新,通信網路業,321.0,4.56,54.07,106.89,-6.33,78.21,63.81,2798,330.39,307.0,208.35,155.16,66.68,74.63,2.37,61.01,9999.0,9999.0
36,6510,精測,半導體業,3610.0,-0.28,23.36,29.67,3.86,54.27,27.4,-916,3710.0,3620.0,2926.44,2783.92,76.61,70.47,19.12,54.54,9999.0,9999.0
37,6530,創威,通信網路業,96.0,-2.54,15.87,23.83,-0.27,10.68,16.2,-1484,112.9,98.5,82.85,77.52,76.92,60.84,20.45,52.71,238.89,9999.0
38,6416,瑞祺電通,電子工業,105.5,0.0,12.77,25.06,21.45,109.34,23.77,940,114.9,105.5,93.55,84.36,21.43,79.53,12.43,56.26,471.16,9999.0
39,2637,慧洋-KY,航運業,100.5,2.45,18.22,42.08,-4.03,34.96,33.74,9811,125.7,98.1,85.01,70.74,0.0,95.12,20.16,60.62,9999.0,9999.0
40,6588,東典光電,通信網路業,115.0,1.32,23.37,44.94,1.24,189.02,118.01,-1057,134.2,113.5,93.21,79.34,35.29,65.54,19.87,53.86,188.31,9999.0
41,6531,愛普*,電子工業,999.0,7.3,11.22,57.98,-6.61,150.82,105.01,2548,1099.0,931.0,898.19,632.38,4.39,64.32,4.67,54.09,9999.0,9999.0
42,3006,晶豪科,電子工業,306.5,2.68,27.54,85.33,16.51,605.24,300.58,3318,333.0,298.5,240.31,165.38,36.84,77.26,3.0,57.99,9999.0,9999.0
43,3167,大量,電機機械,900.0,-4.05,21.98,92.47,6.37,152.98,127.57,2750,964.0,938.0,737.81,467.6,65.87,69.29,13.23,55.71,9999.0,9999.0
